"X..Population.25.Years.and.Over..Less.than.High.School","X..Population.25.Years.and.Over..High.School.Graduate..Includes.Equivalency.","X..Population.25.Years.and.Over..Some.College","X..Population.25.Years.and.Over..Bachelor.s.Degree","X..Population.25.Years.and.Over..Master.s.Degree","X..Population.25.Years.and.Over..Professional.School.Degree","X..Population.25.Years.and.Over..Doctorate.Degree","Vacant.Housing.Units.","X..Vacant.Housing.Units..for.Rent","X..Vacant.Housing.Units..for.Sale.Only","X..Vacant.Housing.Units..Other.Vacant","Average.Gross.Rent.for.Renter.Occupied.Housing.Units","Population.for.Whom.Poverty.Status.Is.Determined","Total.Population","Median.Age.","X..Total.Population..Not.Hispanic.or.Latino","X..Total.Population..Not.Hispanic.or.Latino..White.Alone","X..Total.Population..Not.Hispanic.or.Latino..Black.or.African.American.Alone","X..Total.Population..Not.Hispanic.or.Latino..American.Indian.and.Alaska.Native.Alone","X..Total.Population..Not.Hispanic.or.Latino..Asian.Alone","X..Total.Population..Not.Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.Alone","X..Total.Population..Not.Hispanic.or.Latino..Some.Other.Race.Alone","X..Total.Population..Not.Hispanic.or.Latino..Two.or.More.Races","Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Employed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","Per.Capita.Income..In.2019.Inflation.Adjusted.Dollars.","Gini.Index","LG.li","meidan_income","GEOID","counts","LG.li.1","spatial"
21.26,27.47,21.84,16.82,10.34,0.85,1.43,157,8.92,8.92,82.17,1404.388715,4532,"4532","39.3","24.01","0.73","20.3","0","1.65","0","1.32","0","241","86.52","13.48","22015","0.446","0.0288780750386379","51100",36005000200,"125","0.0288780750386379","Uncluster"
11.27,23.18,37.11,15.99,10.96,1.18,0.31,141,58.87,12.77,28.37,1174.766355,5503,"5516","41.2","33.63","7.02","22.92","0","2.19","0","0.16","1.34","194","93.76","6.24","37619","0.4141","0.00790363858607404","78409",36005000400,"121","0.00790363858607404","Uncluster"
25.15,27.88,28.45,13.19,4.96,0.37,0,45,0,0,100,983.4878331,5603,"5825","33.7","40.74","3.66","34.7","0","1.1","0","0.86","0.43","109","95.15","4.85","22577","0.5881","0.875866000698849","34093",36005001600,"169","0.875866000698849","Uncluster"
19.99,26.35,29.06,16.4,7.64,0.36,0.21,91,41.76,9.89,48.35,1382.38342,2983,"3141","30.6","45.43","10.82","29.83","0","2.29","0","0.7","1.78","167","89.27","10.73","24405","0.5076","2.93114967108226","45156",36005001900,"421","2.93114967108226","Cluster"
40.66,35.7,15.22,6.48,0.8,0.42,0.71,82,14.63,0,85.37,715.3576438,8984,"9040","29.9","34.6","0.23","33.53","0","0","0","0","0.84","610","81.09","18.91","16421","0.6043","1.5786424886978","20592",36005002000,"358","1.5786424886978","Uncluster"
43.15,32.1,17.56,4.57,2.05,0.56,0,127,31.5,24.41,44.09,970.4986877,5577,"5610","33.1","28.95","3.92","24.15","0","0.11","0","0.77","0","220","91.24","8.76","13067","0.5182","3.03204721554676","23115",36005002500,"184","3.03204721554676","Cluster"
37.38,27.97,22.92,8.59,2.05,0,1.09,43,32.56,0,67.44,644.3911793,2608,"2608","29","24.65","0","24.65","0","0","0","0","0","114","88.1","11.9","10564","0.4224","3.07055223727082","18832",36005002701,"139","3.07055223727082","Cluster"
41.78,33.4,17.47,6.8,0.55,0,0,38,100,0,0,980.1229508,4423,"4560","28.5","43.73","0.79","42.04","0.44","0","0","0","0.46","160","90.3","9.7","11747","0.5696","3.34668358033712","13097",36005002702,"189","3.34668358033712","Cluster"
9.39,22.53,39.84,19.89,7.8,0.56,0,124,52.42,25.81,21.77,1039.088608,5121,"5151","44.5","69.99","0.99","68.34","0","0","0","0","0.66","58","97.59","2.41","26028","0.3274","0.707379189229899","51138",36005002800,"246","0.707379189229899","Uncluster"
33.36,25.96,24.59,12.16,3.93,0,0,51,66.67,33.33,0,1190.234375,1689,"1689","33","29.54","1.42","23.33","0","4.38","0","0.41","0","31","96.63","3.37","21643","0.4047","2.46266303451746","43255",36005003100,"117","2.46266303451746","Cluster"
44.94,25.38,20.88,7.26,1.54,0,0,55,72.73,0,27.27,812.7340824,3246,"3277","30.5","39.27","2.81","30.36","2.08","0","0","1.86","2.17","172","84.45","15.55","14263","0.5751","2.7241152659037","22127",36005003300,"173","2.7241152659037","Cluster"
42.37,27.07,15.97,13.47,1.12,0,0,80,62.5,0,37.5,1010.11236,3887,"3907","29.6","32.25","0.44","31.81","0","0","0","0","0","225","87.22","12.78","15750","0.4534","0.863504389985414","31310",36005003500,"186","0.863504389985414","Uncluster"
23.09,32.23,38.4,4,0.8,0.91,0.57,31,67.74,0,32.26,932.8413284,1328,"1350","37.4","23.85","0","23.85","0","0","0","0","0","101","83.28","16.72","23494","0.5817","2.34128157419586","33681",36005003800,"41","2.34128157419586","Cluster"
35.9,28.59,24.72,5.7,4.68,0,0.41,236,45.34,17.37,37.29,1310.015098,6152,"6260","31.2","23.85","8.31","15.54","0","0","0","0","0","224","92.67","7.33","21689","0.6016","3.53846818800363","25772",36005003900,"766","3.53846818800363","Cluster"
33.43,26.9,23.54,13.35,2.4,0.38,0,53,15.09,15.09,69.81,1241.245136,1475,"1475","40.5","32.81","8.68","8.61","1.29","10.92","0","1.56","1.76","35","94.64","5.36","28605","0.474","1.00787748570893","54868",36005004001,"60","1.00787748570893","Uncluster"
42.76,20.68,28.96,6.82,0.78,0,0,105,32.38,0,67.62,713.9498433,5907,"5942","30.1","29.45","1.72","27.35","0","0.2","0","0","0.19","544","78.46","21.54","13257","0.5171","3.6495424710346","19643",36005004100,"401","3.6495424710346","Cluster"
23.06,23.7,39.18,12.34,1.71,0,0,66,100,0,0,1104.222973,7660,"7697","33.8","40.68","5.31","34.6","0","0.42","0","0","0.35","85","97.22","2.78","19407","0.4194","1.80509629425488","43293",36005004200,"457","1.80509629425488","Cluster"
41.69,26.07,22.34,8.35,0.88,0,0.67,116,44.83,0,55.17,863.5935045,5534,"5552","32.8","28.75","1.15","26.51","0","0.94","0","0","0.14","397","82.22","17.78","14770","0.5343","5.63858869912884","21689",36005004300,"342","5.63858869912884","Cluster"
